id,gender,age,study_level,prfinal1,prfinal2,prfinal3,prfinal4,prfinal5,prfinal6,prfinal7,prfinal8,prfinal9,prfinal10,prfinal11,prfinal12,prfinal13,ended,start_capital,end_capital,partida_id,prfinal14,prfinal15,winnings
49,d,32,r6,r1,r1,r2,r3,r3,r1,r2,r2,r3,r2,r3,r3,r2,1,40,6,8,r3,r4,6
50,d,35,r6,r1,r1,r2,r3,r2,r2,r3,r1,r1,r2,r3,r3,r4,1,40,27,9,r3,r3,27
51,h,26,r6,r1,r1,r1,r3,r3,r1,r1,r1,r2,r2,r1,r3,r2,1,40,12,9,r1,r2,12
52,h,33,r6,r1,r1,r1,r3,r1,r1,r2,r1,r1,r2,r3,r3,r2,1,40,23,9,r3,r4,23
53,h,41,r6,r1,r2,r2,r3,r3,r1,r1,r2,r1,r2,r3,r3,r2,1,40,15,9,r1,r3,15
54,d,30,r6,r1,r1,r4,r2,r2,r1,r1,r2,r3,r2,r3,r3,r2,1,40,23,9,r1,r3,23
55,d,27,r6,r1,r2,r2,r2,r2,r1,r1,r3,r1,r2,r3,r3,r2,1,40,11,9,r1,r2,11
56,h,32,r7,r1,r1,r2,r1,r1,r1,r1,r1,r3,r2,r3,r3,r3,1,60,32,10,r4,r2,32
57,h,12,r3,r1,r2,r1,r3,r3,r1,r1,r3,r2,r2,r3,r3,r4,1,20,4,10,r2,r2,4
58,h,12,r2,r1,r1,r1,r3,r3,r1,r1,r1,r1,r2,r3,r1,r3,1,40,20,10,r2,r4,20
59,h,26,r6,r2,r2,r1,r3,r3,r1,r1,r2,r2,r2,r3,r3,r2,1,50,14,10,r1,r4,14
60,d,22,r5,r1,r2,r2,r3,r3,r3,r1,r1,r1,r2,r3,r3,r2,1,40,30,10,r2,r3,30
61,d,25,r6,r3,r1,r2,r3,r3,r1,r1,r2,r2,r2,r4,r3,r1,1,40,23,11,r2,r4,23
62,h,29,r5,r1,r2,r1,r3,r3,r1,r1,r2,r1,r2,r3,r3,r2,1,30,16,10,r1,r3,16
63,h,47,r4,r1,r1,r2,r3,r3,r1,r1,r1,r1,r2,r1,r3,r2,1,40,25,11,r3,r2,25
64,d,12,r3,r1,r1,r2,r1,r1,r3,r1,r1,r1,r2,r1,r1,r2,1,40,21,11,r3,r4,21
65,d,42,r6,r1,r1,r2,r3,r1,r3,r1,r3,r1,r2,r3,r3,r2,1,40,19,11,r2,r2,19
66,h,42,r4,r1,r1,r2,r2,r1,r3,r1,r1,r1,r2,r3,r3,r2,1,40,20,11,r1,r1,20
67,h,41,r6,r1,r2,r1,r2,r1,r1,r3,r1,r3,r2,r1,r3,r2,1,40,9,11,r3,r1,9
68,d,25,r5,r1,r1,r2,r3,r3,r1,r1,r1,r2,r2,r3,r3,r3,1,40,25,12,r2,r4,25
69,d,25,r6,r1,r1,r1,r3,r3,r2,r1,r1,r3,r2,r3,r3,r2,1,20,4,12,r1,r3,4
70,d,12,r2,r1,r1,r1,r3,r3,r1,r1,r2,r1,r2,r3,r3,r3,1,50,15,12,r2,r2,15
